SubImage Number,Class Name,RelativeOriginX2Absolute,RelativeOriginY2Absolute,Ymin,Xmin,Ymax,Xmax,cX,cY
subImage_1,channel,0,0,0.28051928,0.7584317,0.34871325,0.80913156,111.68877333402634,611.3496619462967
subImage_1,channel,0,0,0.51381594,0.7758345,0.5756257,0.8209824,193.37589412927628,622.7585899829865
subImage_1,channel,0,0,0.2869295,0.954091,0.357508,0.99842244,114.38765481114388,761.4802479743958
subImage_1,channel,0,0,0.7356463,0.66762936,0.81187034,0.71837246,274.68420431017876,540.5407118797302
subImage_1,channel,0,0,0.50462776,0.66995627,0.57475644,0.7239733,191.59069687128067,543.632521033287
subImage_1,channel,0,0,0.73206174,0.7641984,0.8111997,0.81378317,273.9289106428623,615.4128205776215
subImage_1,channel,0,0,0.2809352,0.66532546,0.35064706,0.7030917,112.10585117340088,533.6826860904694
subImage_1,channel,0,0,0.4993645,0.968548,0.5871744,0.9973541,192.8606566786766,766.7018151283264
subImage_1,channel,0,0,0.50703955,0.87104756,0.5745788,0.91216743,191.98726043105125,695.453844666481
subImage_1,channel,0,0,0.05139247,0.8609121,0.1334282,0.92108023,32.805669037625194,694.9770033359528
subImage_2,channel,0,780,0.75462556,0.54174,0.8157882,0.5878105,278.7484438717365,1220.524701476097
subImage_2,channel,0,780,0.5152546,0.35025662,0.5858655,0.40713605,195.44882029294968,1075.3831431269646
subImage_2,channel,0,780,0.2964942,0.24426824,0.35840935,0.28972003,116.245376765728,988.2554242014885
subImage_2,channel,0,780,0.5294847,0.8392256,0.5969286,0.88275564,199.9383582174778,1451.5726786851883
subImage_2,channel,0,780,0.7421228,0.055181175,0.8122908,0.102392346,275.90841695666313,841.4536732435226
subImage_2,channel,0,780,0.2905848,0.048787773,0.3548105,0.09614857,114.5576673001051,836.5251747518778
subImage_2,channel,0,780,0.30311146,0.6348963,0.36126137,0.67557234,117.9261776059866,1291.0827594995499
subImage_2,channel,0,780,0.7560506,0.6393268,0.8195414,0.6832212,279.667576700449,1295.7937324047089
subImage_2,channel,0,780,0.7498347,0.44384432,0.81744826,0.4881127,278.1927280128002,1143.4632325172424
subImage_2,channel,0,780,0.7479924,0.24620219,0.81773406,0.29903397,277.91644647717476,992.6421006023884
subImage_2,channel,0,780,0.74301004,0.14753322,0.81226087,0.19969672,276.0605865716934,915.419677644968
subImage_2,channel,0,780,0.28955933,0.33940873,0.36017895,0.38989517,115.3285450488329,1064.4285196065903
subImage_2,channel,0,780,0.52919346,0.941194,0.59681404,0.9773063,199.86633077263832,1528.2151186466217
subImage_2,channel,0,780,0.51224697,0.15820234,0.577782,0.2062627,193.4801371395588,922.141360938549
subImage_2,channel,0,780,0.30143386,0.9221856,0.36930737,0.96555084,119.05656836926937,1516.217211484909
subImage_2,channel,0,780,0.51528275,0.25346518,0.588743,0.30435082,195.96456557512283,997.5482395291328
subImage_2,channel,0,780,0.29265425,0.14343035,0.35880065,0.19314332,115.63324399292469,911.2637333571911
subImage_2,channel,0,780,0.51331216,0.06707692,0.5860327,0.10583858,195.1337108016014,847.4370463192463
subImage_2,channel,0,780,0.51089776,0.64509356,0.59766936,0.6906346,196.7706635594368,1300.933985710144
subImage_2,channel,0,780,0.7435632,0.35148406,0.8194861,0.39046323,277.4412430822849,1069.3594443798065
subImage_2,channel,0,780,0.523106,0.45021453,0.59210765,0.4956588,197.95041978359222,1148.8905948400497
subImage_2,channel,0,780,0.30148172,0.83067596,0.367209,0.8635814,118.69260124862194,1440.7603776454926
subImage_3,channel,0,1560,0.77125823,0.8934864,0.84234446,0.9406696,286.4144788682461,2275.3208309412003
subImage_3,channel,0,1560,0.5336024,0.029199993,0.59905165,0.07763111,201.0460975766182,1601.6641296632588
subImage_3,channel,0,1560,0.5338649,0.22422501,0.60606414,0.26936692,202.33740746974945,1752.5008544325829
subImage_3,channel,0,1560,0.31779823,0.88698983,0.38970304,0.9375777,125.5814740806818,2271.581346988678
subImage_3,channel,0,1560,0.31172535,0.59888726,0.3799155,0.6438522,122.76625156402588,2044.6683812141418
subImage_3,channel,0,1560,0.31811503,0.692373,0.38242346,0.73807496,124.34558130800724,2117.8746950626373
subImage_3,channel,0,1560,0.54554486,0.9057959,0.6085811,0.9446834,204.85736295580864,2281.6869056224823
subImage_3,channel,0,1560,0.5361165,0.3227567,0.5981083,0.35721204,201.3248971104622,1825.1878103613853
subImage_3,channel,0,1560,0.54359394,0.5105466,0.60935605,0.5632241,204.64862301945686,1978.7705737352371
subImage_3,channel,0,1560,0.7635158,0.50262356,0.8356216,0.55372894,283.8468824326992,1971.9774734973907
subImage_3,channel,0,1560,0.31290725,0.50290644,0.3755793,0.5410986,122.20636196434498,1967.1619641780853
subImage_3,channel,0,1560,0.30431986,0.30977038,0.3774858,0.35186931,121.02050647139549,1818.0394792556763
subImage_3,channel,0,1560,0.06969383,0.31352845,0.15296817,0.36028883,39.5225053280592,1822.7887380123138
subImage_3,channel,0,1560,0.084090136,0.8964156,0.1683471,0.9384113,44.80761034414172,2275.582485795021
subImage_3,channel,0,1560,0.06689653,0.02832659,0.15186138,0.06978078,38.82952947169542,1598.2618748769164
subImage_3,channel,0,1560,0.76197565,0.21736154,0.8275654,0.26216295,282.1435306966305,1747.0145523548126
subImage_3,channel,0,1560,0.75565773,0.123780355,0.8208217,0.15815851,279.8250997066498,1669.9561576545238
subImage_3,channel,0,1560,0.29893818,0.1168447,0.36739573,0.1524331,118.27426970005035,1665.018340498209
subImage_3,channel,0,1560,0.5425973,0.7039085,0.6102804,0.75795686,204.6357896924019,2130.127492547035
subImage_4,channel,0,2340,0.5532843,0.187791,0.6159234,0.23859209,207.53436535596848,2506.2894062697887
subImage_4,channel,0,2340,0.32220313,0.3701105,0.38788164,0.41755125,126.04004599153996,2647.188086807728
subImage_4,channel,0,2340,0.5551178,0.77240855,0.62274235,0.8151848,209.0701749920845,2959.1613936424255
subImage_4,channel,0,2340,0.78484315,0.57324547,0.8443216,0.61363846,289.1767440736294,2802.8847312927246
subImage_4,channel,0,2340,0.32859504,0.6596447,0.39006928,0.70393807,127.56291650235653,2871.7972880601883
subImage_4,channel,0,2340,0.33341363,0.5668304,0.39264825,0.6105631,128.87598380446434,2799.1834634542465
subImage_4,channel,0,2340,0.7732018,0.0020769087,0.83895886,0.03256804,286.1585211753845,2353.511530479882
subImage_4,channel,0,2340,0.09544875,0.37994385,0.1748606,0.4226778,47.9799085482955,2653.022436797619
subImage_4,channel,0,2340,0.55183345,0.87052304,0.6234527,0.91256577,208.61329585313797,3035.404633283615
subImage_4,channel,0,2340,0.08705438,0.8647149,0.17885011,0.90603584,47.198047619313,3030.5927968025208
subImage_4,channel,0,2340,0.099495016,0.479315,0.16828983,0.5185836,47.53180934116244,2729.1804572939873
subImage_4,channel,0,2340,0.07609782,0.76517,0.18182966,0.8094219,45.78212855383754,2954.0908312797546
subImage_4,channel,0,2340,0.32853326,0.85209745,0.39243507,0.90332574,127.97187961637974,3024.615043401718
subImage_4,channel,0,2340,0.55007446,0.6754774,0.6239277,0.7183522,208.38538527488708,2883.5935378074646
subImage_4,channel,0,2340,0.78124607,0.6661493,0.8466376,0.7135917,288.9493519067764,2878.098995089531
subImage_4,channel,0,2340,0.099016935,0.5725825,0.17975001,0.61724424,49.48113273829222,2804.0324234962463
subImage_4,channel,0,2340,0.77137136,0.37715003,0.84740347,0.42017183,287.3325325548649,2650.9555238485336
