SubImage Number,Class Name,RelativeOriginX2Absolute,RelativeOriginY2Absolute,Ymin,Xmin,Ymax,Xmax
subImage_1,lightHole,0,0,0.81822294,0.9139658,0.8633135,0.93875366
subImage_1,lightHole,0,0,0.80491734,0.1610284,0.92737156,0.19424364
subImage_1,lightHole,0,0,0.8143731,0.765912,0.8576362,0.7845311
subImage_2,darkHole,0,257,0.81617785,0.664405,0.9507345,0.69302845
subImage_2,lightHole,0,257,0.83038616,0.36680713,0.8710878,0.38925126
subImage_3,lightHole,497,0,0.48105744,0.7562928,0.5295876,0.7769596
subImage_3,lightHole,497,0,0.32669535,0.46394837,0.37996048,0.48580268
subImage_3,lightHole,497,0,0.77852756,0.9015748,0.83334464,0.9255769
subImage_3,lightHole,497,0,0.26375768,0.91076297,0.3283017,0.9332051
subImage_3,lightHole,497,0,0.25186843,0.9069903,0.38427296,0.93831885
subImage_3,lightHole,497,0,0.85161847,0.294253,0.9711945,0.3330002
subImage_3,lightHole,497,0,0.6407146,0.9067707,0.6893583,0.9270808
subImage_3,lightHole,497,0,0.11914442,0.91064215,0.16449405,0.93582946
subImage_3,lightHole,497,0,0.7150289,0.90583193,0.7715432,0.9253034
subImage_3,lightHole,497,0,0.84535766,0.60150343,0.97521335,0.63307214
subImage_3,lightHole,497,0,0.5316384,0.7553564,0.5931267,0.7754291
subImage_3,darkHole,497,0,0.543075,0.75542176,0.5992242,0.77558154
subImage_4,lightHole,497,257,0.9296152,0.8067215,0.9754833,0.82822216
subImage_4,lightHole,497,257,0.26152632,0.51013905,0.31868833,0.5359792
subImage_4,lightHole,497,257,0.71041346,0.5088787,0.75691634,0.528532
subImage_4,lightHole,497,257,0.7089518,0.05075028,0.782066,0.07857627
subImage_4,lightHole,497,257,0.32582852,0.8140117,0.38255885,0.83534664
subImage_4,lightHole,497,257,0.564343,0.50756425,0.62199384,0.5336515
subImage_4,lightHole,497,257,0.48731416,0.5102336,0.53402275,0.533516
subImage_4,lightHole,497,257,0.17888306,0.052921385,0.3049302,0.084333494
subImage_4,lightHole,497,257,0.32691616,0.05969083,0.38266236,0.081113964
subImage_4,lightHole,497,257,0.8375308,0.9509177,0.9783843,0.9912162
subImage_4,lightHole,497,257,0.23223236,0.058559448,0.29852048,0.081531234
subImage_4,lightHole,497,257,0.8579094,0.1986263,0.97858036,0.23741442
subImage_4,lightHole,497,257,0.20033635,0.05713862,0.28029567,0.08363304
