SubImage Number,Class Name,RelativeOriginX2Absolute,RelativeOriginY2Absolute,Ymin,Xmin,Ymax,Xmax
subImage_1,lightHole,0,0,0.84167385,0.84040594,0.8771272,0.86949307
subImage_1,lightHole,0,0,0.8333778,0.53425926,0.94586563,0.56856817
subImage_1,darkHole,0,0,0.825753,0.38430476,0.9369432,0.41397464
subImage_3,lightHole,497,0,0.27323753,0.82659185,0.32612544,0.8528456
subImage_3,lightHole,497,0,0.56301,0.3779315,0.6172104,0.39974627
subImage_3,lightHole,497,0,0.11487356,0.6864049,0.17032494,0.7104909
subImage_3,lightHole,497,0,0.2776959,0.07920993,0.3250272,0.103954524
subImage_3,lightHole,497,0,0.34600118,0.82455057,0.40330756,0.85275936
subImage_3,lightHole,497,0,0.8523579,0.069911405,0.97044975,0.10200005
subImage_3,lightHole,497,0,0.1888069,0.3812289,0.24273951,0.4043831
subImage_3,lightHole,497,0,0.8527575,0.5213786,0.969414,0.55770254
subImage_3,lightHole,497,0,0.9336355,0.22247829,0.97686017,0.24673991
subImage_3,lightHole,497,0,0.13247094,0.9773992,0.22390364,1.0
subImage_3,lightHole,497,0,0.48458064,0.97323984,0.6037296,0.9988263
subImage_3,lightHole,497,0,0.6377535,0.81757635,0.7490197,0.8508293
subImage_3,lightHole,497,0,0.14244893,0.9816439,0.19395177,0.9996176
subImage_3,lightHole,497,0,0.19732586,0.97516346,0.29901662,1.0
subImage_3,lightHole,497,0,0.2721505,0.975109,0.3651315,1.0
subImage_3,lightHole,497,0,0.5605589,0.5295125,0.61972153,0.5567441
subImage_4,lightHole,497,257,0.20920765,0.73653996,0.25922155,0.7639149
subImage_4,lightHole,497,257,0.19845234,0.12944505,0.24906464,0.15100469
subImage_4,lightHole,497,257,0.19900504,0.28381166,0.26693428,0.30855122
subImage_4,lightHole,497,257,0.6451717,0.7314178,0.70425373,0.76099175
subImage_4,lightHole,497,257,0.0059626214,0.7409834,0.05470981,0.776553
subImage_4,lightHole,497,257,0.6328185,0.72661936,0.7431843,0.7649982
subImage_4,darkHole,497,257,0.7204865,0.12538,0.77006906,0.14933394
subImage_5,lightHole,994,0,0.6782826,0.9650994,0.72050613,0.9894898
subImage_5,lightHole,994,0,0.22802201,0.22294231,0.27137196,0.24542405
subImage_5,lightHole,994,0,0.5981119,0.062219806,0.7143353,0.102864034
subImage_5,lightHole,994,0,0.5835625,0.3694642,0.64831,0.3931443
subImage_5,lightHole,994,0,0.15904823,0.07149922,0.20847955,0.093290545
subImage_5,lightHole,994,0,0.59811246,0.06744251,0.64868915,0.09321268
subImage_5,lightHole,994,0,0.07484717,0.671709,0.18373404,0.70616466
subImage_5,lightHole,994,0,0.08217694,0.22020093,0.19490477,0.26528022
subImage_5,lightHole,994,0,0.5294835,0.8271335,0.5875897,0.8526768
subImage_6,lightHole,994,257,0.66635174,0.42023608,0.72700495,0.44389263
subImage_6,lightHole,994,257,0.1600126,0.7260151,0.21634144,0.7548928
subImage_6,lightHole,994,257,0.82530385,0.41906318,0.8720497,0.44135877
subImage_6,lightHole,994,257,0.8191034,0.8671409,0.95547795,0.9068622
subImage_7,lightHole,1491,0,0.32794833,0.21141168,0.37690246,0.23617047
subImage_7,lightHole,1491,0,0.033491112,0.516854,0.080870844,0.5445762
subImage_7,lightHole,1491,0,0.32755992,0.06150997,0.37232316,0.08454071
subImage_7,lightHole,1491,0,0.7023488,0.5119257,0.7466609,0.5379366
subImage_7,lightHole,1491,0,0.48086947,0.20905054,0.53289837,0.23679589
subImage_7,lightHole,1491,0,0.25701797,0.5179474,0.3188424,0.5424792
subImage_7,lightHole,1491,0,0.6247315,0.20816094,0.6879655,0.23336987
subImage_7,lightHole,1491,0,0.26273838,0.6660342,0.31219882,0.6876775
subImage_7,lightHole,1491,0,0.17723693,0.21014123,0.3115132,0.24455667
subImage_7,lightHole,1491,0,0.10256862,0.057198435,0.22714736,0.09535433
subImage_7,lightHole,1491,0,0.77442783,0.20490077,0.8267521,0.23408759
subImage_7,lightHole,1491,0,0.1107618,0.21515405,0.1671204,0.23712836
subImage_7,lightHole,1491,0,0.10235116,0.81283355,0.22123101,0.85156035
subImage_7,lightHole,1491,0,0.55576754,0.6640689,0.60830456,0.68478745
subImage_8,lightHole,1491,257,0.18826444,0.4120462,0.24920546,0.43711814
subImage_8,lightHole,1491,257,0.9120529,0.8644397,0.98362195,0.9001811
subImage_8,lightHole,1491,257,0.7006805,0.40746066,0.7585287,0.43253246
subImage_8,lightHole,1491,257,0.77651423,0.40651682,0.8270932,0.43145663
subImage_8,lightHole,1491,257,0.17383452,0.40846777,0.30084532,0.43830264
subImage_8,darkHole,1491,257,0.8620797,0.5552874,0.9728337,0.5836717
subImage_8,lightHole,1491,257,0.18884031,0.261469,0.24011666,0.28718293
subImage_9,lightHole,1988,0,0.00560194,0.05672301,0.039498456,0.079543516
subImage_9,lightHole,1988,0,0.21911116,0.20016433,0.27505994,0.22921799
subImage_9,lightHole,1988,0,0.21697763,0.6552381,0.2649658,0.67776006
subImage_9,lightHole,1988,0,0.2896882,0.6568822,0.34049895,0.6770237
subImage_9,lightHole,1988,0,0.43395737,0.50182813,0.50902075,0.5298057
subImage_9,lightHole,1988,0,0.20348018,0.35431322,0.24737789,0.37564173
subImage_9,lightHole,1988,0,0.6630304,0.19975503,0.71108824,0.22223574
subImage_9,lightHole,1988,0,0.20365041,0.1975815,0.33499187,0.23304838
subImage_9,lightHole,1988,0,0.5108153,0.3493778,0.5680071,0.37314662
subImage_9,lightHole,1988,0,0.009773119,0.20446911,0.05073192,0.2348735
subImage_10,lightHole,1988,257,0.29082188,0.40350974,0.34832746,0.4275408
subImage_10,lightHole,1988,257,0.13748538,0.10189567,0.19941397,0.12481183
subImage_10,lightHole,1988,257,0.8807921,0.84794736,0.9391563,0.87793404
subImage_10,lightHole,1988,257,0.21518911,0.40384007,0.2711763,0.42605415
subImage_11,lightHole,2485,0,0.24162151,0.94575244,0.30065888,0.97111315
subImage_11,lightHole,2485,0,0.10000342,0.044337384,0.15402582,0.06789241
subImage_11,lightHole,2485,0,0.24918565,0.79458296,0.32703146,0.8197985
subImage_11,lightHole,2485,0,0.24890824,0.49486688,0.29652798,0.5177556
subImage_11,lightHole,2485,0,0.23522876,0.79303205,0.35206354,0.8233872
subImage_11,lightHole,2485,0,0.53995275,0.33870295,0.58675593,0.36038128
subImage_12,lightHole,2485,257,0.62315553,0.3857158,0.67285746,0.4123491
subImage_12,lightHole,2485,257,0.7075667,0.83568496,0.7764887,0.8658666
subImage_12,lightHole,2485,257,0.6983025,0.83320993,0.7960485,0.8701496
subImage_13,lightHole,2982,0,0.58949536,0.47779262,0.6374586,0.4985845
subImage_13,lightHole,2982,0,0.2831853,0.17928572,0.33245537,0.20396024
subImage_13,lightHole,2982,0,0.944665,0.92093915,0.99714166,0.94886065
subImage_13,lightHole,2982,0,0.803598,0.77322066,0.8547746,0.8028047
subImage_13,lightHole,2982,0,0.50488263,0.3261747,0.5589621,0.3499248
subImage_13,lightHole,2982,0,0.42389748,0.63026357,0.48735908,0.6538166
subImage_13,lightHole,2982,0,0.42608187,0.7803379,0.49346396,0.80621964
subImage_13,lightHole,2982,0,0.20573586,0.32924515,0.263469,0.35194746
subImage_13,lightHole,2982,0,0.35249054,0.48147768,0.4081438,0.50304604
subImage_14,lightHole,2982,257,0.806215,0.5208517,0.8587822,0.5457446
subImage_14,lightHole,2982,257,0.29475638,0.5286703,0.35919413,0.5523087
subImage_14,lightHole,2982,257,0.21890363,0.22514215,0.27440444,0.2519442
subImage_14,lightHole,2982,257,0.2883022,0.37648174,0.34596035,0.4029243
subImage_14,lightHole,2982,257,0.50807387,0.07377008,0.55605215,0.09973156
subImage_14,lightHole,2982,257,0.1357629,0.5315262,0.19438267,0.5535295
subImage_14,lightHole,2982,257,0.13883853,0.07647246,0.19223598,0.10194293
subImage_14,lightHole,2982,257,0.21009548,0.22278571,0.31497422,0.25447395
subImage_14,lightHole,2982,257,0.87958294,0.3703493,0.99684834,0.39722773
subImage_15,lightHole,3479,0,0.16338156,0.16477641,0.22361791,0.1878511
subImage_15,lightHole,3479,0,0.5599328,0.16249426,0.6230272,0.1856945
subImage_15,lightHole,3479,0,0.32878733,0.9176624,0.38014778,0.9424884
subImage_15,lightHole,3479,0,0.61130446,0.004474461,0.72310233,0.03949058
subImage_15,lightHole,3479,0,0.62573624,0.009225195,0.6999088,0.03686512
subImage_15,lightHole,3479,0,0.3280792,0.16198358,0.38189238,0.19005303
subImage_15,lightHole,3479,0,0.2457634,0.4675138,0.29652986,0.48927152
subImage_15,lightHole,3479,0,0.526177,0.0064623747,0.65164906,0.04041878
subImage_15,lightHole,3479,0,0.70079935,0.76070166,0.78994983,0.78585446
subImage_15,lightHole,3479,0,0.44797096,0.006761392,0.5659639,0.04226593
subImage_15,lightHole,3479,0,0.10482372,0.16189317,0.22065277,0.19197999
subImage_15,lightHole,3479,0,0.39713702,0.31396025,0.45562378,0.3379418
subImage_15,lightHole,3479,0,0.8506717,0.76138836,0.9031288,0.7826747
subImage_15,lightHole,3479,0,0.39806342,0.31040382,0.5111139,0.34596682
subImage_15,lightHole,3479,0,0.46992493,0.7607911,0.5953949,0.7935156
subImage_15,lightHole,3479,0,0.47791648,0.6169749,0.5289314,0.6367777
subImage_15,lightHole,3479,0,0.7058665,0.7625239,0.7581051,0.7843067
subImage_15,lightHole,3479,0,0.32139853,0.3152854,0.37803924,0.33792293
subImage_15,lightHole,3479,0,0.69086576,0.7593135,0.8330675,0.7879906
subImage_15,lightHole,3479,0,0.40239346,0.16197781,0.4572189,0.18747497
subImage_15,lightHole,3479,0,0.24029674,0.76767224,0.30075058,0.79413456
subImage_15,lightHole,3479,0,0.7728971,0.46105766,0.8305601,0.4858017
subImage_15,lightHole,3479,0,0.54971623,0.15734226,0.6620094,0.18890496
subImage_15,lightHole,3479,0,0.75402784,0.45943412,0.90135604,0.49079058
subImage_16,lightHole,3479,257,0.56280404,0.51148534,0.61653054,0.5328505
subImage_16,lightHole,3479,257,0.04533456,0.6712917,0.10900553,0.7001848
subImage_16,lightHole,3479,257,0.10211899,0.5171178,0.15558414,0.5427554
subImage_16,lightHole,3479,257,0.40508434,0.51158947,0.46095744,0.53452486
subImage_16,lightHole,3479,257,0.4827114,0.22023864,0.526235,0.24030246
subImage_16,lightHole,3479,257,0.61892873,0.06518015,0.6739661,0.087733716
subImage_16,lightHole,3479,257,0.089524396,0.072300136,0.14081722,0.09644423
subImage_16,lightHole,3479,257,0.32557514,0.069789335,0.3783676,0.09495202
subImage_16,lightHole,3479,257,0.53148234,0.21888956,0.59773076,0.23857756
subImage_17,lightHole,3976,0,0.13677268,0.9094693,0.1864124,0.9358445
subImage_17,lightHole,3976,0,0.006048333,0.007410788,0.061086085,0.035054732
subImage_18,darkHole,3976,257,0.13898702,0.5050907,0.18446252,0.53077567
subImage_18,lightHole,3976,257,0.13629647,0.058222763,0.1853041,0.08363266
