SubImage Number,Class Name,RelativeOriginX2Absolute,RelativeOriginY2Absolute,Ymin,Xmin,Ymax,Xmax,cX,cY
,,,,,,,,,
subImage_1,lightHole,0,0,0.07611198,0.95729023,0.120660864,0.9796677,25.2853104,722.4853173
subImage_1,darkHole,0,0,0.532635,0.85620654,0.5706802,0.8791339,141.7759999,647.2819753
subImage_1,lightHole,0,0,0.5329436,0.7604901,0.5693439,0.77890974,141.6439477,574.1961486
subImage_1,darkHole,0,0,0.3834503,0.85913545,0.41966313,0.8781651,103.2000758,648.0131144
subImage_1,darkHole,0,0,0.37749022,0.66094595,0.4172847,0.68465966,102.1285772,501.9108932
subImage_1,darkHole,0,0,0.53364676,0.6573104,0.56914735,0.6842081,141.7090432,500.3864084
subImage_1,darkHole,0,0,0.3755382,0.61236274,0.40936407,0.6334477,100.8599423,464.6872975
subImage_1,lightHole,0,0,0.07211296,0.5669479,0.11304768,0.5901368,23.7931428,431.5925944
subImage_1,lightHole,0,0,0.22343898,0.7617957,0.25426468,0.7839082,61.3849204,576.5475502
subImage_1,lightHole,0,0,0.22692013,0.8585404,0.26601568,0.8849902,63.34225114,650.3369254
subImage_1,lightHole,0,0,0.07158924,0.61531705,0.117740534,0.6382746,24.32887585,467.5896879
subImage_1,lightHole,0,0,0.53771687,0.9568292,0.57126796,0.977403,142.5045504,721.4686014
subImage_1,lightHole,0,0,0.079872824,0.8106489,0.12003113,0.83334225,25.68765854,613.2087073
subImage_1,lightHole,0,0,0.2241126,0.71176386,0.25965053,0.73445874,62.16356201,539.441031
subImage_1,darkHole,0,0,0.53171074,0.70772207,0.5730596,0.7335548,141.9629916,537.5962644
subImage_1,lightHole,0,0,0.23234352,0.95398843,0.27769285,0.9805875,65.53967471,721.5968164
subImage_1,darkHole,0,0,0.83449185,0.7555027,0.8645854,0.7744947,218.3314264,570.6890333
subImage_1,lightHole,0,0,0.075923406,0.7619313,0.111997604,0.7858911,24.14784978,577.3377611
subImage_1,darkHole,0,0,0.38195157,0.759071,0.41427952,0.7830023,102.3156952,575.1933444
subImage_1,darkHole,0,0,0.2321557,0.90601337,0.2634859,0.93296725,63.68994612,685.9397694
subImage_1,darkHole,0,0,0.8171323,0.7084475,0.86522484,0.729139,216.1828915,536.2197594
subImage_1,lightHole,0,0,0.0719507,0.66458595,0.11524858,0.6847952,24.05510744,503.3191685
subImage_1,darkHole,0,0,0.5225504,0.5645583,0.5597184,0.58576506,139.0715375,429.0706248
subImage_1,lightHole,0,0,0.22347935,0.66444224,0.24889539,0.68602616,60.70015374,503.7247121
