SubImage Number,Class Name,RelativeOriginX2Absolute,RelativeOriginY2Absolute,Ymin,Xmin,Ymax,Xmax,cX,cY,Conversion X,ConversionY
,,,,,,,,,,0.008,0.007602085
,,,,,,,,,,cX [cm],cY [cm]
subImage_4,channel,476,0,0.639845,0.27889332,0.7116653,0.30378273,797.6594481,155.2831681,6.381275585,1.180475866
subImage_4,channel,476,0,0.6487416,0.88195604,0.7183997,0.9054787,801.3796309,476.3513627,6.411037047,3.621263617
subImage_4,channel,476,0,0.31478742,0.27950978,0.389748,0.30611828,643.6794311,156.0698787,5.149435449,1.186456506
subImage_4,channel,476,0,0.2990832,0.43001932,0.3697871,0.45529735,635.1911314,235.9368925,5.081529051,1.793612346
subImage_4,channel,476,0,0.48020646,0.882398,0.5577143,0.9070375,723.0251369,476.8845623,5.784201095,3.625317046
subImage_4,channel,476,0,0.6190296,0.43033075,0.69477695,0.45243943,788.685955,235.2582532,6.30948764,1.788453271
subImage_4,channel,476,0,0.7992047,0.7294133,0.8700342,0.75173736,873.2788641,394.7266421,6.986230913,3.000745542
subImage_4,channel,476,0,0.77975476,0.42899492,0.84964854,0.4535789,863.7979838,235.2059212,6.91038387,1.788055439
subImage_4,channel,476,0,0.3087734,0.5819997,0.3806825,0.6023663,640.0905034,315.6335516,5.120724027,2.399473134
subImage_4,channel,476,0,0.47811463,0.28018892,0.5559256,0.30395916,722.1015777,155.6754631,5.776812622,1.183458125
subImage_4,channel,476,0,0.15054868,0.13030906,0.22197688,0.15447399,564.6610828,75.89468294,4.517288662,0.576957842
subImage_4,channel,476,0,0.3122023,0.13022625,0.37855977,0.1547799,640.4013733,75.95413914,5.123210987,0.577409833
subImage_4,channel,476,0,0.4698158,0.12804866,0.5455124,0.15351099,717.6481042,75.03564569,5.741184834,0.570427367
subImage_4,channel,476,0,0.80020833,0.27939907,0.86656344,0.3043011,872.6916811,155.556098,6.981533449,1.182550701
subImage_4,channel,476,0,0.47229493,0.5792748,0.5439126,0.6071937,717.8573889,316.1938505,5.742859111,2.403732573
subImage_4,channel,476,0,0.324175,0.73120284,0.38604882,0.75325584,645.0332701,395.6082395,5.16026616,3.00744752
subImage_4,channel,476,0,0.63628,0.13040633,0.70582324,0.15474676,795.4205718,75.99329874,6.363364574,0.577707527
subImage_4,channel,476,0,0.13480242,0.43141717,0.20867278,0.45542958,557.7470959,236.3446591,4.461976767,1.796712222
subImage_4,channel,476,0,0.16577208,0.88379043,0.23667054,0.9060117,571.7813434,476.9822687,4.574250747,3.626059819
subImage_4,channel,476,0,0.4777233,0.73048234,0.54299957,0.7505298,718.9320421,394.6897421,5.751456337,3.000465025
subImage_4,channel,476,0,0.7996446,0.8822322,0.8721067,0.9033203,873.8768001,475.8497417,6.9910144,3.617450252
subImage_4,channel,476,0,0.15939963,0.73071474,0.22471805,0.753895,567.4200073,395.6484912,4.539360059,3.007753517
subImage_4,channel,476,0,0.7882719,0.12826626,0.8632545,0.15201765,869.0632812,74.69566282,6.952506249,0.567842789
subImage_4,channel,476,0,0.45419064,0.43081385,0.5312994,0.4523044,710.5466328,235.3510115,5.684373063,1.789158428
subImage_4,channel,476,0,0.6392632,0.58244216,0.70238316,0.5999943,795.3118368,315.1193182,6.362494695,2.395563888
subImage_4,channel,476,0,0.3196575,0.8838323,0.3948565,0.9048415,646.0543361,476.6815566,5.168434689,3.62377378
subImage_4,channel,476,0,0.14888918,0.5835483,0.22157894,0.6046822,564.1714137,316.6634321,4.51337131,2.407302373
subImage_5,channel,476,533,0.33264944,0.031268224,0.3954657,0.05210346,649.2914037,555.2185538,5.194331229,4.220818719
subImage_5,channel,476,533,0.33181253,0.9363525,0.40517744,0.9579269,651.403614,1037.825466,5.211228912,7.889637553
subImage_5,channel,476,533,0.4743033,0.4829222,0.54425275,0.5054853,718.4163419,796.4105968,5.747330735,6.054381166
subImage_5,channel,476,533,0.48790702,0.78477603,0.5634761,0.8099984,726.2291797,958.0073843,5.809833437,7.282853703
subImage_5,channel,476,533,0.320307,0.48457205,0.38732263,0.5071812,644.4158498,797.3022492,5.155326798,6.061159583
subImage_5,channel,476,533,0.49008083,0.031136487,0.55448353,0.0495734,724.6063192,554.5091846,5.796850554,4.215426034
subImage_5,channel,476,533,0.49553332,0.63371426,0.5587117,0.654262,726.9103159,876.2456746,5.815282527,6.661294225
subImage_5,channel,476,533,0.66160476,0.7865165,0.7228857,0.80748415,805.5087366,957.8011699,6.444069893,7.281286044
subImage_5,channel,476,533,0.18105349,0.93748516,0.24815178,0.9625369,578.1508539,1039.355871,4.625206831,7.901271825
subImage_5,channel,476,533,0.806257,0.63212615,0.8710262,0.6532631,875.1934081,875.5562337,7.001547265,6.656053036
subImage_5,channel,476,533,0.6390437,0.4821431,0.70782006,0.50631994,796.5535717,796.4254013,6.372428574,6.054493711
subImage_5,channel,476,533,0.15860079,0.18181291,0.21934415,0.20244965,565.9508972,635.4059727,4.527607178,4.830410305
subImage_5,channel,476,533,0.8084283,0.32973343,0.87339306,0.35009828,876.2734804,714.1751516,7.010187843,5.42922031
subImage_5,channel,476,533,0.7971914,0.4787746,0.8594918,0.5028858,870.2906032,794.6125034,6.962324825,6.040711907
subImage_5,channel,476,533,0.81642264,0.9353731,0.88132125,0.95625454,880.0630465,1037.118774,7.040504372,7.884265223
subImage_5,channel,476,533,0.6377439,0.179996,0.7060519,0.20172329,795.8233948,634.7281911,6.366587158,4.825257752
subImage_5,channel,476,533,0.48587465,0.33021387,0.5570671,0.3524139,724.2201363,714.9203,5.79376109,5.434884991
subImage_5,channel,476,533,0.16639677,0.6356159,0.23370098,0.6577551,571.2232628,877.6833614,4.569786102,6.672223642
subImage_5,channel,476,533,0.8049205,0.7849079,0.8828918,0.80609196,877.69932,957.0014578,7.02159456,7.275206565
subImage_5,channel,476,533,0.33672693,0.7849173,0.39915028,0.81358784,651.1387774,959.0016196,5.209110219,7.290411965
subImage_5,channel,476,533,0.32486767,0.33212695,0.3956041,0.3527286,647.4722812,715.5140042,5.179778249,5.439398381
subImage_5,channel,476,533,0.3209912,0.18344416,0.38872465,0.2021764,644.9123707,635.7678804,5.159298965,4.833161558
subImage_5,channel,476,533,0.6609618,0.9366734,0.7346459,0.9571074,808.154635,1037.692591,6.46523708,7.888627426
subImage_5,channel,476,533,0.651936,0.030723033,0.7145703,0.051512763,801.2284943,554.9158397,6.409827954,4.218517461
subImage_5,channel,476,533,0.8136127,0.029588256,0.8724754,0.0507341,877.2889643,554.4059076,7.018311714,4.214640914
subImage_5,channel,476,533,0.4802995,0.18169333,0.5526462,0.1986874,721.8410819,634.3714658,5.774728655,4.822545896
subImage_5,channel,476,533,0.15438426,0.48546273,0.21986824,0.50690377,565.0720946,797.4656703,4.520576756,6.062401925
subImage_5,channel,476,533,0.4981536,0.93459255,0.56907195,0.9587394,729.9996799,1037.572963,5.839997439,7.88771801
subImage_5,channel,476,533,0.17198941,0.33104342,0.23380254,0.35093552,572.5784849,714.7473878,4.580627879,5.433570498
subImage_7,channel,952,0,0.4359428,0.27406347,0.5068453,0.2990524,1176.383566,152.7353755,9.411068532,1.161107329
subImage_7,channel,952,0,0.25907755,0.12713394,0.33471903,0.15069027,1093.323586,74.04015147,8.74658869,0.562859535
subImage_7,channel,952,0,0.7372886,0.42532808,0.804601,0.44772232,1318.969727,232.6679294,10.55175781,1.768761409
subImage_7,channel,952,0,0.4256679,0.12552746,0.49501663,0.15069792,1171.122922,73.61406194,9.368983376,0.559620367
subImage_7,channel,952,0,0.58447236,0.12611961,0.6561174,0.15088338,1247.260358,73.8212969,9.978082861,0.561195784
subImage_7,channel,952,0,0.122762464,0.8806168,0.18617085,0.90493023,1025.526128,475.8482803,8.204209023,3.617439142
subImage_7,channel,952,0,0.58392227,0.5767157,0.6583986,0.5995588,1247.672373,313.4771485,9.981378984,2.383079973
subImage_7,channel,952,0,0.7673747,0.8768227,0.8341616,0.9001389,1333.165633,473.560273,10.66532507,3.600045516
subImage_7,channel,952,0,0.42669648,0.72698313,0.5045641,0.7479931,1173.640019,393.0811684,9.389120155,2.98823651
subImage_7,channel,952,0,0.6017067,0.2740513,0.66508716,0.29965135,1253.496936,152.8917597,10.02797548,1.162296175
subImage_7,channel,952,0,0.60744566,0.87726843,0.67107826,0.8988245,1256.288693,473.3287703,10.05030955,3.598285612
subImage_7,channel,952,0,0.4398307,0.87772155,0.51113605,0.8994315,1178.330085,473.6112944,9.426640684,3.600433385
subImage_7,channel,952,0,0.11450854,0.27637446,0.18371733,0.29957104,1022.977756,153.4894748,8.183822047,1.166840056
