SourceImage,Relative X,Relative Y,Radius,Absolute X,Absolute Y,Luminance,Number of Pixels Detected,Rectangle Bounding Width,Rectangle Bounding Height,Rectangle Bounding Area
captureX4Y0P0004.jpg,0.024,0.184,0.128,3.816,0.028,75,438,15,33,495
captureX4Y0P0004.jpg,0.664,0.216,0.128,3.78,0.664,65,566,20,32,640
captureX4Y0P0004.jpg,1.296,0.144,0.128,3.84925,1.3,65,572,19,33,627
captureX4Y0P0004.jpg,1.928,0.184,0.128,3.812,1.932,67,576,20,32,640
captureX4Y0P0004.jpg,2.568,0.224,0.112,3.772,2.568,51,432,17,28,476
captureX4Y0P0004.jpg,3.208,0.24,0.12,3.756,3.212,68,539,20,30,600
captureX4Y0P0004.jpg,3.848,0.248,0.12,3.748,3.848,58,484,18,30,540
captureX4Y0P0004.jpg,4.48,0.216,0.104,3.784,4.48,50,430,18,27,486
captureX4Y0P0004.jpg,5.12,0.28,0.096,3.716,5.12,30,326,15,24,360
captureX4Y0P0004.jpg,5.76,0.216,0.12,3.78,5.764,47,480,18,30,540
captureX5Y0P0005.jpg,0.032,1.16,0.128,3.84,0.032,75,461,16,33,528
captureX5Y0P0005.jpg,0.04,0.552,0.12,4.448,0.04,65,441,16,31,496
captureX5Y0P0005.jpg,0.656,1.2,0.128,3.796,0.66,64,562,20,32,640
captureX5Y0P0005.jpg,0.664,0.6,0.128,4.393125,0.664,62,580,20,33,660
captureX5Y0P0005.jpg,1.304,1.128,0.128,3.870875,1.304,61,574,20,33,660
captureX5Y0P0005.jpg,1.304,0.52,0.136,4.476,1.308,65,600,20,34,680
captureX5Y0P0005.jpg,1.928,1.168,0.128,3.832,1.932,63,575,20,33,660
captureX5Y0P0005.jpg,1.944,0.568,0.12,4.432,1.944,60,521,19,31,589
captureX5Y0P0005.jpg,2.568,1.208,0.112,3.789481445,2.572,53,416,16,28,448
captureX5Y0P0005.jpg,2.576,0.6,0.104,4.4,2.576,44,376,15,27,405
captureX5Y0P0005.jpg,3.216,1.224,0.12,3.776,3.22,64,544,20,31,620
captureX5Y0P0005.jpg,3.216,0.624,0.128,4.376,3.216,68,588,20,33,660
captureX5Y0P0005.jpg,3.24,0.064,0.104,4.931578949,3.24,71,372,21,20,420
captureX5Y0P0005.jpg,3.848,1.232,0.12,3.768,3.848,55,494,18,31,558
captureX5Y0P0005.jpg,3.848,0.624,0.112,4.376,3.848,52,446,17,29,493
captureX5Y0P0005.jpg,3.872,0.056,0.088,4.939529411,3.872,66,309,19,18,342
captureX5Y0P0005.jpg,4.488,1.192,0.104,3.801384644,4.488,53,418,17,27,459
captureX5Y0P0005.jpg,4.488,0.592,0.096,4.404,4.488,21,305,14,24,336
captureX5Y0P0005.jpg,5.128,0.64,0.112,4.356,5.128,47,424,17,28,476
captureX5Y0P0005.jpg,5.12,1.256,0.096,3.738260864,5.124,31,318,14,24,336
captureX5Y0P0005.jpg,5.144,0.072,0.096,4.925599998,5.144,66,331,17,21,357
captureX5Y0P0005.jpg,5.768,1.192,0.12,3.802758667,5.768,46,491,18,30,540
captureX5Y0P0005.jpg,5.768,0.592,0.12,4.405379333,5.772,61,491,18,30,540
captureX6Y0P0006.jpg,0.032,2.064,0.128,3.936,0.032,75,439,15,33,495
captureX6Y0P0006.jpg,0.032,1.448,0.128,4.548,0.032,61,441,16,32,512
captureX6Y0P0006.jpg,0.024,0.848,0.128,5.148,0.028,78,480,16,34,544
captureX6Y0P0006.jpg,0.04,0.248,0.128,5.750875,0.04,81,511,17,33,561
captureX6Y0P0006.jpg,0.656,2.096,0.128,3.9,0.66,66,572,20,32,640
captureX6Y0P0006.jpg,0.656,1.504,0.128,4.496,0.656,67,566,19,33,627
captureX6Y0P0006.jpg,0.664,0.896,0.128,5.1,0.668,65,574,20,32,640
captureX6Y0P0006.jpg,0.672,0.296,0.136,5.704,0.672,72,600,20,33,660
captureX6Y0P0006.jpg,1.296,2.024,0.128,3.96925,1.3,67,572,19,33,627
captureX6Y0P0006.jpg,1.304,1.424,0.128,4.576,1.308,66,595,21,33,693
captureX6Y0P0006.jpg,1.304,0.816,0.136,5.18,1.304,69,606,20,34,680
captureX6Y0P0006.jpg,1.312,0.208,0.128,5.78525,1.316,70,596,20,33,660
captureX6Y0P0006.jpg,1.928,2.064,0.128,3.934875,1.928,66,585,20,33,660
captureX6Y0P0006.jpg,1.936,1.464,0.12,4.532,1.94,60,516,20,30,600
captureX6Y0P0006.jpg,1.944,0.856,0.128,5.144,1.944,66,583,20,33,660
captureX6Y0P0006.jpg,1.952,0.256,0.128,5.744,1.952,66,587,20,33,660
captureX6Y0P0006.jpg,2.568,2.104,0.112,3.892,2.568,52,435,17,28,476
captureX6Y0P0006.jpg,2.576,1.496,0.104,4.5,2.576,44,381,16,26,416
captureX6Y0P0006.jpg,2.576,0.896,0.112,5.1,2.58,49,424,17,28,476
captureX6Y0P0006.jpg,2.576,0.288,0.112,5.708,2.58,49,429,17,28,476
captureX6Y0P0006.jpg,3.208,2.12,0.12,3.878666748,3.212,66,551,20,31,620
captureX6Y0P0006.jpg,3.208,1.52,0.136,4.476,3.212,66,618,21,34,714
captureX6Y0P0006.jpg,3.208,0.92,0.128,5.08,3.212,69,589,20,33,660
captureX6Y0P0006.jpg,3.216,0.312,0.136,5.684,3.22,69,605,20,34,680
captureX6Y0P0006.jpg,3.848,2.128,0.12,3.868,3.848,58,484,18,30,540
captureX6Y0P0006.jpg,3.84,1.52,0.12,4.476,3.844,50,473,18,30,540
captureX6Y0P0006.jpg,3.848,0.92,0.12,5.08,3.852,60,499,18,31,558
captureX6Y0P0006.jpg,3.864,0.312,0.104,5.684,3.864,53,407,17,26,442
captureX6Y0P0006.jpg,4.48,2.096,0.104,3.904,4.484,51,430,18,27,486
captureX6Y0P0006.jpg,4.488,0.28,0.112,5.716,4.492,53,432,17,28,476
captureX6Y0P0006.jpg,5.12,2.16,0.104,3.84,5.12,28,335,15,25,375
captureX6Y0P0006.jpg,5.128,1.536,0.112,4.46,5.128,50,431,17,28,476
captureX6Y0P0006.jpg,5.128,0.936,0.12,5.06,5.128,55,485,18,30,540
captureX6Y0P0006.jpg,5.128,0.336,0.112,5.66,5.132,24,368,16,28,448
captureX6Y0P0006.jpg,5.76,2.096,0.12,3.904,5.764,50,473,18,29,522
captureX6Y0P0006.jpg,5.768,1.488,0.12,4.508,5.768,60,510,19,30,570
captureX6Y0P0006.jpg,5.776,0.88,0.12,5.116,5.776,61,488,18,30,540
captureX6Y0P0006.jpg,5.776,0.288,0.12,5.712,5.776,59,526,19,31,589
captureX7Y0P0007.jpg,0.032,3.016,0.128,3.984,0.032,75,461,16,33,528
captureX7Y0P0007.jpg,0.032,2.408,0.12,4.592,0.036,65,440,16,31,496
captureX7Y0P0007.jpg,0.032,1.8,0.128,5.196,0.032,73,504,17,34,578
