SubImage Number,Class Name,RelativeOriginX2Absolute,RelativeOriginY2Absolute,Ymin,Xmin,Ymax,Xmax,pxcX,pxcY,cmcX,cmcY,luminance,width,height
subImage_7,channel0,480,0,0.39821687,0.966749,0.46501538,0.9873318,795.3108937740326,687.1757411956787,6.638981190355293,5.560316944133338,120.52941176470588,0.13985991612599927,0.2594416685262011
subImage_7,channel1,480,0,0.72094053,0.96745133,0.78228736,0.9870869,795.4970580339432,840.7746934890747,6.640535225424519,6.803170563430265,126.15948275862068,0.1334234487504067,0.23826765140458042
subImage_7,channel2,480,0,0.70556563,0.864848,0.7689323,0.8890502,713.8365687727928,833.8794994354248,5.9588616101829,6.747377755228266,118.68387096774194,0.16445352350380624,0.2461125293696854
subImage_7,channel3,480,0,0.4103915,0.08083872,0.46462408,0.09530195,71.68925106525421,690.0037407875061,0.5984371559584196,5.583199844541142,80.95987654320987,0.09827753013924126,0.21063625819420428
subImage_7,channel4,480,0,0.56062907,0.4750851,0.6362945,0.49191567,393.5693184733391,767.2616529464722,3.2853810037057523,6.208336112155016,100.28373015873017,0.11436353466184725,0.2938802359958781
subImage_7,channel5,480,0,0.53939056,0.37512016,0.5987619,0.393278,312.73805344104767,753.1565952301025,2.610629466485544,6.094204330841194,92.97241379310344,0.12338236523821873,0.2305950102620339
subImage_7,channel6,480,0,0.5579838,0.86862725,0.61680776,0.88635415,714.2774292230606,761.9499778747559,5.962541761253145,6.165356427145174,119.79310344827586,0.12045412089354629,0.22846890410830167
subImage_7,channel7,480,0,0.5693178,0.96698594,0.62436116,0.98445916,794.2381567955017,766.4829540252686,6.630026351840672,6.202035230813639,110.35989010989012,0.11873038535676539,0.2137852519829829
subImage_7,channel8,480,0,0.23695715,0.8703557,0.29034904,0.887189,715.3206914067268,606.5534842014313,5.971250554340465,4.907957911698091,128.08516483516485,0.11438176024905475,0.20737110872569625
subImage_7,channel9,480,0,0.54645914,0.77095765,0.60586333,0.7870932,634.126704454422,756.5573930740356,5.293471139565516,6.121722057008726,101.46153846153847,0.10964108250985823,0.2307225673712136
subImage_7,channel10,480,0,0.22425209,0.37532255,0.2778453,0.39087182,311.8411099612713,600.5033719539642,2.603142091500914,4.859003125277713,96.62426035502959,0.10565717165282221,0.20815300370982415
subImage_7,channel11,480,0,0.8606318,0.6732487,0.91820955,0.6936162,556.3140223026276,906.9219303131104,4.643917691698831,7.338404244817676,121.77083333333333,0.1383970089928102,0.22362867899264036
subImage_7,channel12,480,0,0.38163373,0.3754259,0.4428723,0.39342237,312.92124596238136,677.8814435005188,2.6121586945055157,5.4851116685974235,102.78620689655172,0.12228579240790052,0.23784712964627744
subImage_7,channel13,480,0,0.8620333,0.8681991,0.9236774,0.8854692,713.743001461029,908.5705661773682,5.958080542517797,7.351744264526155,118.44285714285714,0.1173501008855837,0.23942214741815432
subImage_7,channel14,480,0,0.38154447,0.7714528,0.444531,0.786759,634.1922039985657,678.2581114768982,5.2940179071817415,5.48815949640306,115.37435897435897,0.10400573094529775,0.24463613106878956
subImage_7,channel15,480,0,0.39323616,0.8714368,0.44874793,0.8881485,716.1512013673782,682.0761823654175,5.978183365207674,5.519053608320335,149.04558404558404,0.11355593864203026,0.2156046191718093
subImage_7,channel16,480,0,0.24747862,0.96907157,0.30494684,0.9844313,795.0756776332855,612.5821101665497,6.637017687093471,4.956738840788172,120.1565934065934,0.10436943266334973,0.2232033535863964
subImage_7,channel17,480,0,0.4037042,0.6724574,0.44324982,0.69155866,555.154534816742,683.2689642906189,4.6342386898524985,5.528705063038182,100.3157894736842,0.12979291177867175,0.15359299677036467
subImage_7,channel18,480,0,0.86378694,0.37752917,0.91787446,0.39300376,313.60690489411354,907.5987339019775,2.6178823389147703,7.343880634971497,83.82371794871794,0.10514969030235546,0.2100729002537527
subImage_7,channel19,480,0,0.8820475,0.968348,0.93717784,0.98518866,795.0894325375557,916.6140747070312,6.637132508292878,7.416828716852639,111.03254437869822,0.11443198186713766,0.21412324359714327
subImage_7,channel20,480,0,0.2604915,0.47459587,0.30697083,0.48985702,392.53232726454735,616.1909580230713,3.2767245585550233,4.985940014057911,89.5719696969697,0.10369933857368714,0.18052317313191077
subImage_7,channel21,480,0,0.41151124,0.47425932,0.46926475,0.48946068,392.23403748869896,691.3862371444702,3.274234538329429,5.594386383090153,66.19940476190476,0.10329311048548431,0.22431137575302323
