SourceImage,Relative X,Relative Y,Radius,Absolute X,Absolute Y,Luminance,Number of Pixels Detected,Rectangle Bounding Width,Rectangle Bounding Height,Rectangle Bounding Area
captureX6Y0P0006.jpg,0.024,2.744,0.112,3.256,0.028,58,334,13,29,377
captureX6Y0P0006.jpg,0.024,2.136,0.112,3.864,0.028,61,339,13,29,377
captureX6Y0P0006.jpg,0.032,1.536,0.112,4.46,0.032,63,352,14,28,392
captureX6Y0P0006.jpg,0.032,0.936,0.112,5.064,0.032,65,367,14,29,406
captureX6Y0P0006.jpg,0.032,0.328,0.112,5.668,0.032,65,355,14,28,392
captureX6Y0P0006.jpg,0.64,2.752,0.112,3.244,0.64,55,496,20,28,560
captureX6Y0P0006.jpg,0.64,2.152,0.12,3.841333251953125,0.644,68,579,21,31,651
captureX6Y0P0006.jpg,0.64,1.56,0.112,4.4399999999999995,0.644,51,496,20,29,580
captureX6Y0P0006.jpg,0.648,0.944,0.12,5.052,0.652,69,551,20,30,600
captureX6Y0P0006.jpg,0.64,0.344,0.12,5.656,0.644,69,535,20,29,580
captureX6Y0P0006.jpg,1.28,2.112,0.112,3.885333251953125,1.28,55,479,19,28,532
captureX6Y0P0006.jpg,1.288,0.288,0.096,5.711087707519531,1.2904561767578124,43,393,18,24,432
captureX6Y0P0006.jpg,1.92,2.736,0.112,3.26145458984375,1.924727294921875,54,519,21,28,588
captureX6Y0P0006.jpg,1.92,2.128,0.12,3.868,1.92,63,542,20,30,600
captureX6Y0P0006.jpg,1.92,0.312,0.12,5.681241394042969,1.92,66,549,20,30,600
captureX6Y0P0006.jpg,1.92,1.528,0.12,4.4719999999999995,1.924,64,515,20,29,580
captureX6Y0P0006.jpg,1.92,0.92,0.112,5.078571411132812,1.924,66,526,20,29,580
captureX6Y0P0006.jpg,2.56,2.752,0.112,3.2463076171875,2.56,60,491,20,27,540
captureX6Y0P0006.jpg,2.56,2.136,0.088,3.856923095703125,2.56153857421875,38,346,17,22,374
captureX6Y0P0006.jpg,2.56,1.536,0.112,4.4585185546875,2.564,58,466,18,28,504
captureX6Y0P0006.jpg,2.56,0.328,0.088,5.671076934814453,2.56646142578125,35,353,18,22,396
captureX6Y0P0006.jpg,2.56,0.936,0.096,5.0600000000000005,2.564,34,352,16,24,384
captureX6Y0P0006.jpg,3.192,2.752,0.12,3.241227783203125,3.192197998046875,74,597,22,30,660
captureX6Y0P0006.jpg,3.2,2.152,0.12,3.845517333984375,3.2,72,590,22,30,660
captureX6Y0P0006.jpg,3.2,0.344,0.12,5.656,3.2,70,563,22,29,638
captureX6Y0P0006.jpg,3.2,1.544,0.12,4.4559999999999995,3.204,68,550,21,29,609
captureX6Y0P0006.jpg,3.2,0.944,0.12,5.054666687011719,3.204,68,578,21,31,651
captureX6Y0P0006.jpg,3.84,2.784,0.128,3.216,3.84,79,641,23,31,713
captureX6Y0P0006.jpg,3.84,2.184,0.128,3.812,3.84,79,641,22,32,704
captureX6Y0P0006.jpg,3.84,1.576,0.128,4.418709716796875,3.844,71,602,21,32,672
captureX6Y0P0006.jpg,3.84,0.976,0.12,5.018086975097656,3.84104345703125,71,569,21,30,630
captureX6Y0P0006.jpg,3.84,0.368,0.12,5.631294128417968,3.84635302734375,46,518,21,29,609
captureX6Y0P0006.jpg,4.48,2.744,0.12,3.256,4.48,72,570,22,29,638
captureX6Y0P0006.jpg,4.48,2.136,0.12,3.864,4.484,66,527,20,29,580
captureX6Y0P0006.jpg,4.488,1.536,0.104,4.4621591796875,4.4881796875,58,434,19,25,475
captureX6Y0P0006.jpg,4.48,0.928,0.112,5.068,4.484,64,493,19,28,532
captureX6Y0P0006.jpg,4.48,0.32,0.112,5.68,4.4843076171875,51,462,19,27,513
captureX6Y0P0006.jpg,5.112,2.792,0.12,3.20262060546875,5.116,63,554,21,30,630
captureX6Y0P0006.jpg,5.128,2.2,0.096,3.8,5.129,54,397,19,23,437
captureX6Y0P0006.jpg,5.128,1.584,0.112,4.416,5.128,54,486,19,29,551
captureX6Y0P0006.jpg,5.128,0.984,0.112,5.016,5.128,61,501,19,29,551
captureX6Y0P0006.jpg,5.12,0.376,0.104,5.6175384521484375,5.124,50,449,18,27,486
captureX6Y0P0006.jpg,5.76,2.76,0.12,3.236,5.76,70,600,23,30,690
captureX6Y0P0006.jpg,5.752,0.344,0.12,5.652,5.756,65,559,21,30,630
captureX6Y0P0006.jpg,5.76,2.16,0.12,3.838428466796875,5.76,48,483,19,29,551
captureX6Y0P0006.jpg,5.76,0.952,0.12,5.045241394042969,5.76,59,530,20,30,600
captureX6Y0P0006.jpg,5.76,1.56,0.12,4.4399999999999995,5.76,64,543,20,31,620
captureX7Y0P0007.jpg,0.024,0.672,0.112,6.328,0.024,54,325,13,29,377
captureX7Y0P0007.jpg,0.632,3.088,0.12,3.906758544921875,0.632,57,487,18,30,540
captureX7Y0P0007.jpg,0.624,2.496,0.112,4.504,0.628,44,448,18,29,522
captureX7Y0P0007.jpg,0.632,1.88,0.112,5.113428588867188,0.636,57,468,18,29,522
captureX7Y0P0007.jpg,0.64,1.288,0.112,5.712,0.64,53,467,18,29,522
captureX7Y0P0007.jpg,0.64,0.68,0.12,6.32,0.644,58,476,18,29,522
captureX7Y0P0007.jpg,0.648,0.08,0.096,6.918545455932617,0.652,71,389,18,23,414
captureX7Y0P0007.jpg,1.264,3.048,0.112,3.948,1.268,46,408,16,28,448
captureX7Y0P0007.jpg,1.272,1.232,0.096,5.768,1.276,36,328,16,23,368
captureX7Y0P0007.jpg,1.28,0.64,0.096,6.36,1.284,31,338,15,25,375
captureX7Y0P0007.jpg,1.904,3.072,0.112,3.928,1.908,56,453,17,29,493
captureX7Y0P0007.jpg,1.904,2.464,0.112,4.534571533203125,1.908,52,460,18,29,522
captureX7Y0P0007.jpg,1.912,1.856,0.112,5.14,1.912,54,457,18,28,504
captureX7Y0P0007.jpg,1.912,1.256,0.12,5.74,1.912,53,462,17,30,510
captureX7Y0P0007.jpg,1.912,0.656,0.112,6.344,1.916,55,466,18,29,522
captureX7Y0P0007.jpg,1.936,0.072,0.096,6.921333335876465,1.936,66,360,18,22,396
captureX7Y0P0007.jpg,2.552,2.48,0.104,4.52,2.552,44,408,17,27,459
captureX7Y0P0007.jpg,2.552,3.08,0.088,3.916,2.552,37,307,15,22,330
captureX7Y0P0007.jpg,2.552,1.88,0.096,5.116,2.556,31,328,15,24,360
captureX7Y0P0007.jpg,2.56,1.264,0.088,5.732,2.56,33,310,16,22,352
captureX7Y0P0007.jpg,2.56,0.672,0.104,6.324,2.56,40,377,16,26,416
captureX7Y0P0007.jpg,2.568,0.08,0.088,6.918095237731934,2.568,32,303,15,22,330
captureX7Y0P0007.jpg,3.192,3.088,0.12,3.908,3.192,58,505,19,30,570
captureX7Y0P0007.jpg,3.192,2.48,0.12,4.516,3.192,58,480,18,30,540
captureX7Y0P0007.jpg,3.184,1.888,0.12,5.112,3.188,59,478,18,29,522
captureX7Y0P0007.jpg,3.184,1.28,0.12,5.716,3.188,56,483,18,30,540
captureX7Y0P0007.jpg,3.2,0.68,0.112,6.316,3.2,47,441,18,28,504
captureX7Y0P0007.jpg,3.208,0.088,0.104,6.908666664123535,3.208,71,422,18,25,450
captureX7Y0P0007.jpg,3.824,3.128,0.12,3.872,3.824,61,531,19,31,589
captureX7Y0P0007.jpg,3.824,2.52,0.12,4.48,3.828,64,508,18,31,558
captureX7Y0P0007.jpg,3.832,1.92,0.12,5.0760000000000005,3.832,60,492,18,30,540
captureX7Y0P0007.jpg,3.832,0.712,0.12,6.288,3.836,58,493,19,29,551
captureX7Y0P0007.jpg,3.84,1.304,0.112,5.692,3.84,33,426,18,28,504
captureX7Y0P0007.jpg,3.832,0.104,0.112,6.889428573608399,3.836,60,475,18,29,522
captureX7Y0P0007.jpg,4.472,3.072,0.112,3.924,4.472,53,435,17,28,476
captureX7Y0P0007.jpg,4.472,2.472,0.104,4.524,4.472,48,395,17,26,442
captureX7Y0P0007.jpg,4.472,1.872,0.112,5.128,4.472,50,423,16,29,464
captureX7Y0P0007.jpg,4.472,1.264,0.104,5.736,4.476,45,400,16,27,432
captureX7Y0P0007.jpg,4.48,0.664,0.104,6.336,4.48,46,411,17,27,459
captureX7Y0P0007.jpg,4.488,0.072,0.096,6.9234285736083985,4.488,55,334,17,22,374
captureX7Y0P0007.jpg,5.112,3.136,0.096,3.86,5.116,41,360,17,24,408
captureX7Y0P0007.jpg,5.112,2.52,0.112,4.476,5.112,46,425,17,28,476
captureX7Y0P0007.jpg,5.112,1.92,0.112,5.0760000000000005,5.112,53,418,16,28,448
captureX7Y0P0007.jpg,5.112,1.32,0.104,5.68,5.116,43,397,16,27,432
captureX7Y0P0007.jpg,5.12,0.712,0.112,6.284,5.12,39,397,16,28,448
captureX7Y0P0007.jpg,5.744,3.096,0.112,3.8985185546875,5.748,42,413,17,28,476
captureX7Y0P0007.jpg,5.744,2.496,0.12,4.5,5.748,55,476,18,30,540
captureX7Y0P0007.jpg,5.752,1.896,0.112,5.104,5.752,53,451,17,29,493
captureX7Y0P0007.jpg,5.752,1.288,0.112,5.712,5.752,57,471,18,29,522
captureX7Y0P0007.jpg,5.752,0.688,0.112,6.305285705566407,5.752,54,464,18,29,522
captureX7Y0P0007.jpg,5.76,0.088,0.104,6.905760002136231,5.764,70,435,18,26,468
captureX8Y0P0008.jpg,0.024,0.48,0.104,7.516,0.028,52,302,12,28,336
captureX8Y0P0008.jpg,0.632,3.488,0.104,4.5069091796875,0.632,54,367,18,23,414
captureX8Y0P0008.jpg,0.624,2.904,0.112,5.096,0.624,58,476,18,29,522
captureX8Y0P0008.jpg,0.632,2.304,0.112,5.696,0.632,58,455,17,29,493
captureX8Y0P0008.jpg,0.632,1.696,0.112,6.304,0.632,60,476,18,29,522
captureX8Y0P0008.jpg,0.632,1.08,0.112,6.916,0.636,57,470,19,28,532
captureX8Y0P0008.jpg,0.632,0.488,0.12,7.5106666564941404,0.636,61,531,19,31,589
captureX8Y0P0008.jpg,1.264,2.248,0.096,5.752,1.268,40,325,15,23,345
captureX8Y0P0008.jpg,1.264,1.056,0.104,6.944,1.268,44,402,17,27,459
captureX8Y0P0008.jpg,1.264,1.656,0.096,6.344,1.268,31,341,15,25,375
captureX8Y0P0008.jpg,1.272,0.448,0.104,7.552,1.272,54,404,16,27,432
captureX8Y0P0008.jpg,1.896,3.472,0.112,4.524615478515625,1.9,60,422,17,27,459
captureX8Y0P0008.jpg,1.904,2.872,0.112,5.1240000000000006,1.904,55,454,18,28,504
captureX8Y0P0008.jpg,1.896,2.272,0.12,5.724,1.9,51,475,18,30,540
captureX8Y0P0008.jpg,1.904,1.672,0.112,6.328,1.908,55,462,18,29,522
captureX8Y0P0008.jpg,1.912,1.072,0.112,6.928,1.912,56,470,18,29,522
captureX8Y0P0008.jpg,1.912,0.464,0.112,7.532,1.912,54,465,19,28,532
